Timestamp,UsedRAM_MB,TotalRAM_MB,CPU_Usage_Percent
19:58:35,1201,2762,12.2
19:58:36,1194,2762,25.0
19:58:37,1194,2762,6.8
19:58:38,1195,2762,11.3
19:58:39,1193,2762,8.3
19:58:40,1193,2762,9.8
19:58:41,1195,2762,9.2
19:58:42,1194,2762,16.9
19:58:44,1193,2762,4.6
19:58:45,1194,2762,8.5
19:58:46,1196,2762,23.2
19:58:47,1197,2762,20.1
19:58:48,1202,2762,17.9
20:08:56,1304,2762,12.9
20:08:58,1310,2762,13.0
20:08:59,1312,2762,22.3
20:09:00,1314,2762,25.3
20:09:01,1314,2762,13.8
20:09:02,1316,2762,13.2
20:09:03,1247,2762,18.9
20:09:04,1245,2762,10.1
20:09:05,1247,2762,17.0
20:09:06,1240,2762,34.6
20:09:07,1238,2762,3.6
20:09:08,1239,2762,9.5
20:09:09,1238,2762,12.6
20:09:10,1237,2762,8.8
20:09:11,1237,2762,7.6
20:09:12,1240,2762,16.6
20:09:14,1237,2762,11.5
20:09:15,1236,2762,5.7
20:09:16,1238,2762,14.4
20:09:17,1237,2762,6.6
20:09:18,1238,2762,5.3
20:09:19,1239,2762,17.1
20:09:20,1237,2762,9.8
20:09:21,1238,2762,6.5
20:09:22,1240,2762,10.1
20:09:23,1241,2762,13.1
20:09:24,1238,2762,6.7
20:09:25,1239,2762,4.5
20:09:26,1241,2762,14.1
20:09:27,1240,2762,10.8
20:09:29,1239,2762,2.6
20:09:30,1242,2762,15.7
20:09:31,1241,2762,8.7
20:09:32,1241,2762,3.6
20:09:33,1243,2762,11.7
20:09:34,1242,2762,7.1
20:09:35,1242,2762,2.5
20:09:36,1242,2762,2.2
20:09:37,1242,2762,5.2
20:09:38,1243,2762,4.1
20:09:39,1242,2762,2.7
20:09:40,1242,2762,2.5
20:09:41,1242,2762,2.4
20:09:42,1242,2762,3.3
20:09:44,1242,2762,5.0
20:09:45,1241,2762,6.7
20:09:46,1242,2762,7.3
20:09:47,1246,2762,25.0
20:09:48,1237,2762,16.9
20:09:49,1234,2762,6.3
20:09:50,1234,2762,5.0
20:09:51,1238,2762,18.7
20:09:52,1235,2762,13.9
20:09:53,1235,2762,6.4
20:09:54,1237,2762,17.6
20:09:55,1238,2762,12.4
20:09:56,1236,2762,3.7
20:09:57,1238,2762,10.0
